wikidata_id,name,instance_of,country
Q7011082,New Prospect Church,church,United States of America
Q7084822,Old Rectory,church,United States of America
Q7087138,Olive Branch Missionary Baptist Church,church,United States of America
Q7402188,Saint Stephen's Episcopal Church,church,United States of America
Q7792416,Thomas Methodist Episcopal Chapel,church,United States of America
Q4879161,Bedford Historic Meetinghouse,church,United States of America
Q7490137,Sharon Lutheran Church and Cemetery,church,United States of America
Q7356009,Rocky Run Methodist Church,church,United States of America
Q5452460,"First Baptist Church of Covington, Virginia",church,United States of America
Q5462513,Floyd Presbyterian Church,church,United States of America
Q7538841,Slate Mountain Presbyterian Church and Cemetery,church,United States of America
Q8022100,Willis Presbyterian Church and Cemetery,church,United States of America
Q7962176,Walker's Creek Presbyterian Church,church,United States of America
Q7402035,Saint Paul Catholic Church,church,United States of America
Q4897918,Bethel Methodist Protestant Church,church,United States of America
Q5004209,Byrd's AME Church,church,United States of America
Q5025769,Camden Friends Meetinghouse,church,United States of America
Q5108700,"Christ Church, Milford, Delaware",church,United States of America
Q5108742,Christ Church,church,United States of America
Q5179411,Cow Marsh Old School Baptist Church,church,United States of America
Q5608854,Griffith's Chapel,church,United States of America
Q6649683,Little Creek Methodist Church,church,United States of America
